Calculated Z (nm)   Deflection {nN)     
Extend Data
6.875000e+001       -7.230377e-002      
6.914063e+001       -7.415771e-002      
6.953125e+001       -7.705307e-002      
6.992188e+001       -7.289886e-002      
7.031250e+001       -7.265854e-002      
7.070313e+001       -7.497025e-002      
7.109375e+001       -7.436371e-002      
7.148438e+001       -7.318497e-002      
7.187500e+001       -7.256699e-002      
7.226563e+001       -7.143402e-002      
7.265625e+001       -7.248688e-002      
7.304688e+001       -7.079315e-002      
7.343750e+001       -7.415771e-002      
7.382813e+001       -7.398605e-002      
7.421875e+001       -7.562256e-002      
7.460938e+001       -7.446671e-002      
7.500000e+001       -7.440948e-002      
7.539063e+001       -7.043839e-002      
7.578125e+001       -7.032394e-002      
7.617188e+001       -7.056427e-002      
7.656250e+001       -7.105637e-002      
7.695313e+001       -7.300186e-002      
7.734375e+001       -7.677841e-002      
7.773438e+001       -6.913376e-002      
7.812500e+001       -7.079315e-002      
7.851563e+001       -7.309341e-002      
7.890625e+001       -7.175446e-002      
7.929688e+001       -7.223511e-002      
7.968750e+001       -7.396317e-002      
8.007813e+001       -7.561111e-002      
8.046875e+001       -7.155991e-002      
8.085938e+001       -7.285309e-002      
8.125000e+001       -7.430649e-002      
8.164063e+001       -7.269287e-002      
8.203125e+001       -7.327652e-002      
8.242188e+001       -6.962585e-002      
8.281250e+001       -7.153702e-002      
8.320313e+001       -6.999207e-002      
8.359375e+001       -7.307053e-002      
8.398438e+001       -7.158279e-002      
8.437500e+001       -6.921387e-002      
8.476563e+001       -7.105637e-002      
8.515625e+001       -7.181168e-002      
8.554688e+001       -7.170868e-002      
8.593750e+001       -7.000351e-002      
8.632813e+001       -7.189178e-002      
8.671875e+001       -6.974030e-002      
8.710938e+001       -7.003784e-002      
8.750000e+001       -7.135391e-002      
8.789063e+001       -7.119370e-002      
8.828125e+001       -7.041550e-002      
8.867188e+001       -7.112503e-002      
8.906250e+001       -6.714249e-002      
8.945313e+001       -6.919098e-002      
8.984375e+001       -7.111359e-002      
9.023438e+001       -6.729126e-002      
9.062500e+001       -6.953430e-002      
9.101563e+001       -7.000351e-002      
9.140625e+001       -7.065582e-002      
9.179688e+001       -6.993484e-002      
9.218750e+001       -6.798935e-002      
9.257813e+001       -7.151413e-002      
9.296875e+001       -7.121658e-002      
9.335938e+001       -7.004929e-002      
9.375000e+001       -6.887054e-002      
9.414063e+001       -6.834412e-002      
9.453125e+001       -6.933975e-002      
9.492188e+001       -7.190323e-002      
9.531250e+001       -6.917953e-002      
9.570313e+001       -7.052994e-002      
9.609375e+001       -6.970596e-002      
9.648438e+001       -6.655884e-002      
9.687500e+001       -6.670761e-002      
9.726563e+001       -6.642151e-002      
9.765625e+001       -6.735992e-002      
9.804688e+001       -6.785202e-002      
9.843750e+001       -6.786346e-002      
9.882813e+001       -6.671906e-002      
9.921875e+001       -6.905365e-002      
9.960938e+001       -6.976318e-002      
1.000000e+002       -6.794357e-002      
1.003906e+002       -7.072449e-002      
1.007813e+002       -6.836700e-002      
1.011719e+002       -7.036972e-002      
1.015625e+002       -6.835556e-002      
1.019531e+002       -6.582642e-002      
1.023438e+002       -6.757736e-002      
1.027344e+002       -6.694794e-002      
1.031250e+002       -6.588364e-002      
1.035156e+002       -6.519699e-002      
1.039063e+002       -6.509399e-002      
1.042969e+002       -6.792068e-002      
1.046875e+002       -6.628418e-002      
1.050781e+002       -7.055283e-002      
1.054688e+002       -6.597519e-002      
1.058594e+002       -6.454468e-002      
1.062500e+002       -6.637573e-002      
1.066406e+002       -6.491089e-002      
1.070313e+002       -6.532288e-002      
1.074219e+002       -6.556320e-002      
1.078125e+002       -6.899643e-002      
1.082031e+002       -6.920242e-002      
1.085938e+002       -6.763458e-002      
1.089844e+002       -6.646729e-002      
1.093750e+002       -6.520844e-002      
1.097656e+002       -6.714249e-002      
1.101563e+002       -6.730270e-002      
1.105469e+002       -6.588364e-002      
1.109375e+002       -6.564331e-002      
1.113281e+002       -6.689072e-002      
1.117188e+002       -6.641006e-002      
1.121094e+002       -6.385803e-002      
1.125000e+002       -6.583786e-002      
1.128906e+002       -6.502533e-002      
1.132813e+002       -6.616974e-002      
1.136719e+002       -6.634140e-002      
1.140625e+002       -6.715393e-002      
1.144531e+002       -6.435013e-002      
1.148438e+002       -6.588364e-002      
1.152344e+002       -6.451035e-002      
1.156250e+002       -6.336594e-002      
1.160156e+002       -6.481934e-002      
1.164063e+002       -6.388092e-002      
1.167969e+002       -6.364059e-002      
1.171875e+002       -6.622696e-002      
1.175781e+002       -6.248474e-002      
1.179688e+002       -6.491089e-002      
1.183594e+002       -6.349182e-002      
