Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -6.195836e-002      
3.906250e-001       -6.525426e-002      
7.812500e-001       -6.314854e-002      
1.171875e+000       -6.246190e-002      
1.562500e+000       -6.341176e-002      
1.953125e+000       -6.314854e-002      
2.343750e+000       -6.293111e-002      
2.734375e+000       -6.162648e-002      
3.125000e+000       -6.198125e-002      
3.515625e+000       -6.324010e-002      
3.906250e+000       -6.068806e-002      
4.296875e+000       -6.160359e-002      
4.687500e+000       -5.834202e-002      
5.078125e+000       -6.053929e-002      
5.468750e+000       -6.405263e-002      
5.859375e+000       -6.340031e-002      
6.250000e+000       -6.111149e-002      
6.640625e+000       -6.386952e-002      
7.031250e+000       -6.041341e-002      
7.421875e+000       -6.120305e-002      
7.812500e+000       -6.098561e-002      
8.203125e+000       -6.095128e-002      
8.593750e+000       -6.005864e-002      
8.984375e+000       -5.917744e-002      
9.375000e+000       -6.183247e-002      
9.765625e+000       -5.798725e-002      
1.015625e+001       -5.936055e-002      
1.054688e+001       -6.009297e-002      
1.093750e+001       -5.788426e-002      
1.132813e+001       -6.336598e-002      
1.171875e+001       -5.930332e-002      
1.210938e+001       -6.091695e-002      
1.250000e+001       -5.801014e-002      
1.289063e+001       -6.187825e-002      
1.328125e+001       -6.034474e-002      
1.367188e+001       -5.881123e-002      
1.406250e+001       -5.822758e-002      
1.445313e+001       -5.884556e-002      
1.484375e+001       -6.075673e-002      
1.523438e+001       -5.638508e-002      
1.562500e+001       -5.851368e-002      
1.601563e+001       -5.898289e-002      
1.640625e+001       -5.756382e-002      
1.679688e+001       -5.635075e-002      
1.718750e+001       -5.953221e-002      
1.757813e+001       -5.786137e-002      
1.796875e+001       -5.636219e-002      
1.835938e+001       -5.828480e-002      
1.875000e+001       -6.081395e-002      
1.914063e+001       -5.708317e-002      
1.953125e+001       -5.952076e-002      
1.992188e+001       -5.878834e-002      
2.031250e+001       -5.692295e-002      
2.070313e+001       -5.711750e-002      
2.109375e+001       -5.556111e-002      
2.148438e+001       -5.527500e-002      
2.187500e+001       -5.731205e-002      
2.226563e+001       -5.687718e-002      
2.265625e+001       -5.673985e-002      
2.304688e+001       -5.892567e-002      
2.343750e+001       -5.549244e-002      
2.382813e+001       -5.390171e-002      
2.421875e+001       -5.526356e-002      
2.460938e+001       -5.588154e-002      
2.500000e+001       -5.843357e-002      
2.539063e+001       -5.572132e-002      
2.578125e+001       -5.854801e-002      
2.617188e+001       -5.463413e-002      
2.656250e+001       -5.765538e-002      
2.695313e+001       -5.514912e-002      
2.734375e+001       -5.904011e-002      
2.773438e+001       -5.774693e-002      
2.812500e+001       -5.383305e-002      
2.851563e+001       -5.598454e-002      
2.890625e+001       -5.398182e-002      
2.929688e+001       -5.589299e-002      
2.968750e+001       -5.677418e-002      
3.007813e+001       -5.637364e-002      
3.046875e+001       -5.600743e-002      
3.085938e+001       -5.687718e-002      
3.125000e+001       -5.469136e-002      
3.164063e+001       -5.345539e-002      
3.203125e+001       -5.467991e-002      
3.242188e+001       -5.514912e-002      
3.281250e+001       -5.543522e-002      
3.320313e+001       -5.434803e-002      
3.359375e+001       -5.435947e-002      
3.398438e+001       -5.393604e-002      
3.437500e+001       -5.484013e-002      
3.476563e+001       -5.680851e-002      
3.515625e+001       -5.698017e-002      
3.554688e+001       -5.533222e-002      
3.593750e+001       -5.590443e-002      
3.632813e+001       -5.375294e-002      
3.671875e+001       -5.556111e-002      
3.710938e+001       -5.295185e-002      
3.750000e+001       -5.442814e-002      
3.789063e+001       -5.482868e-002      
3.828125e+001       -5.375294e-002      
3.867188e+001       -5.245975e-002      
3.906250e+001       -5.194477e-002      
3.945313e+001       -5.297474e-002      
3.984375e+001       -5.463413e-002      
4.023438e+001       -5.150989e-002      
4.062500e+001       -5.328373e-002      
4.101563e+001       -5.228809e-002      
4.140625e+001       -5.549244e-002      
4.179688e+001       -5.383305e-002      
4.218750e+001       -5.129246e-002      
4.257813e+001       -5.310062e-002      
4.296875e+001       -5.283741e-002      
4.335938e+001       -5.231098e-002      
4.375000e+001       -5.201343e-002      
4.414063e+001       -5.197910e-002      
4.453125e+001       -5.299763e-002      
4.492188e+001       -5.118946e-002      
4.531250e+001       -5.204777e-002      
4.570313e+001       -5.409626e-002      
4.609375e+001       -5.497746e-002      
4.648438e+001       -5.519490e-002      
4.687500e+001       -5.237965e-002      
4.726563e+001       -5.072025e-002      
4.765625e+001       -5.025104e-002      
4.804688e+001       -5.419926e-002      
4.843750e+001       -5.083469e-002      
4.882813e+001       -4.914096e-002      
4.921875e+001       -5.191044e-002      
4.960938e+001       -5.106357e-002      
5.000000e+001       -4.996494e-002      
5.039063e+001       -5.260853e-002      
5.078125e+001       -5.084614e-002      
5.117188e+001       -5.108646e-002      
