Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -5.715179e-002      
3.906250e-001       -5.106354e-002      
7.812500e-001       -5.056000e-002      
1.171875e+000       -5.215073e-002      
1.562500e+000       -5.266571e-002      
1.953125e+000       -5.109787e-002      
2.343750e+000       -5.054855e-002      
2.734375e+000       -5.180740e-002      
3.125000e+000       -5.059433e-002      
3.515625e+000       -5.148697e-002      
3.906250e+000       -5.234528e-002      
4.296875e+000       -4.975891e-002      
4.687500e+000       -4.890060e-002      
5.078125e+000       -4.941559e-002      
5.468750e+000       -4.742432e-002      
5.859375e+000       -4.872894e-002      
6.250000e+000       -4.850006e-002      
6.640625e+000       -4.820251e-002      
7.031250e+000       -4.600525e-002      
7.421875e+000       -4.890060e-002      
7.812500e+000       -4.384232e-002      
8.203125e+000       -4.740143e-002      
8.593750e+000       -4.575348e-002      
8.984375e+000       -4.840851e-002      
9.375000e+000       -4.602814e-002      
9.765625e+000       -4.861450e-002      
1.015625e+001       -4.546738e-002      
1.054688e+001       -4.448318e-002      
1.093750e+001       -4.396820e-002      
1.132813e+001       -4.444885e-002      
1.171875e+001       -4.455185e-002      
1.210938e+001       -4.238892e-002      
1.250000e+001       -3.973389e-002      
1.289063e+001       -4.236603e-002      
1.328125e+001       -4.373932e-002      
1.367188e+001       -4.270935e-002      
1.406250e+001       -4.068375e-002      
1.445313e+001       -4.117584e-002      
1.484375e+001       -4.340744e-002      
1.523438e+001       -4.409409e-002      
1.562500e+001       -3.794861e-002      
1.601563e+001       -4.109573e-002      
1.640625e+001       -4.278946e-002      
1.679688e+001       -4.289246e-002      
1.718750e+001       -4.193115e-002      
1.757813e+001       -3.865814e-002      
1.796875e+001       -3.943634e-002      
1.835938e+001       -4.246902e-002      
1.875000e+001       -4.240036e-002      
1.914063e+001       -3.904724e-002      
1.953125e+001       -3.872681e-002      
1.992188e+001       -3.988266e-002      
2.031250e+001       -4.214859e-002      
2.070313e+001       -3.829193e-002      
2.109375e+001       -4.101563e-002      
2.148438e+001       -3.900146e-002      
2.187500e+001       -4.008865e-002      
2.226563e+001       -3.770828e-002      
2.265625e+001       -3.337097e-002      
2.304688e+001       -3.482437e-002      
2.343750e+001       -3.624344e-002      
2.382813e+001       -3.609467e-002      
2.421875e+001       -3.807449e-002      
2.460938e+001       -3.557968e-002      
2.500000e+001       -3.706741e-002      
2.539063e+001       -3.635788e-002      
2.578125e+001       -3.852081e-002      
2.617188e+001       -3.815460e-002      
2.656250e+001       -3.441238e-002      
2.695313e+001       -3.649521e-002      
2.734375e+001       -3.710175e-002      
2.773438e+001       -3.389740e-002      
2.812500e+001       -3.378296e-002      
2.851563e+001       -3.367996e-002      
2.890625e+001       -3.632355e-002      
2.929688e+001       -3.334808e-002      
2.968750e+001       -3.129959e-002      
3.007813e+001       -3.343964e-002      
3.046875e+001       -3.357697e-002      
3.085938e+001       -3.369141e-002      
3.125000e+001       -2.964020e-002      
3.164063e+001       -3.020096e-002      
3.203125e+001       -3.116226e-002      
3.242188e+001       -3.204346e-002      
3.281250e+001       -3.411484e-002      
3.320313e+001       -3.263855e-002      
3.359375e+001       -2.887344e-002      
3.398438e+001       -3.223801e-002      
3.437500e+001       -3.046417e-002      
3.476563e+001       -2.872467e-002      
3.515625e+001       -3.134537e-002      
3.554688e+001       -2.731705e-002      
3.593750e+001       -2.804947e-002      
3.632813e+001       -2.875900e-002      
3.671875e+001       -2.880478e-002      
3.710938e+001       -3.100204e-002      
3.750000e+001       -2.714539e-002      
3.789063e+001       -3.200912e-002      
3.828125e+001       -3.089905e-002      
3.867188e+001       -2.753448e-002      
3.906250e+001       -3.017807e-002      
3.945313e+001       -3.200912e-002      
3.984375e+001       -2.865601e-002      
4.023438e+001       -2.834702e-002      
4.062500e+001       -2.706528e-002      
4.101563e+001       -2.897644e-002      
4.140625e+001       -2.565765e-002      
4.179688e+001       -2.990341e-002      
4.218750e+001       -2.903366e-002      
4.257813e+001       -2.945709e-002      
4.296875e+001       -2.810669e-002      
4.335938e+001       -2.649307e-002      
4.375000e+001       -2.762604e-002      
4.414063e+001       -2.343750e-002      
4.453125e+001       -2.268219e-002      
4.492188e+001       -2.628708e-002      
4.531250e+001       -2.501678e-002      
4.570313e+001       -2.792358e-002      
4.609375e+001       -2.802658e-002      
4.648438e+001       -2.721405e-002      
4.687500e+001       -2.597809e-002      
