Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -4.088974e-002      
3.906250e-001       -4.069519e-002      
7.812500e-001       -4.225159e-002      
1.171875e+000       -4.238892e-002      
1.562500e+000       -4.055786e-002      
1.953125e+000       -4.058075e-002      
2.343750e+000       -4.048920e-002      
2.734375e+000       -3.926468e-002      
3.125000e+000       -4.000854e-002      
3.515625e+000       -3.879547e-002      
3.906250e+000       -3.591156e-002      
4.296875e+000       -3.706741e-002      
4.687500e+000       -3.743362e-002      
5.078125e+000       -3.991699e-002      
5.468750e+000       -3.841782e-002      
5.859375e+000       -3.829193e-002      
6.250000e+000       -3.758240e-002      
6.640625e+000       -3.821182e-002      
7.031250e+000       -3.369141e-002      
7.421875e+000       -3.754807e-002      
7.812500e+000       -3.911591e-002      
8.203125e+000       -3.667831e-002      
8.593750e+000       -3.995132e-002      
8.984375e+000       -3.965378e-002      
9.375000e+000       -3.670120e-002      
9.765625e+000       -3.770828e-002      
1.015625e+001       -3.536224e-002      
1.054688e+001       -3.577423e-002      
1.093750e+001       -3.578568e-002      
1.132813e+001       -3.590012e-002      
1.171875e+001       -3.453827e-002      
1.210938e+001       -3.553391e-002      
1.250000e+001       -3.590012e-002      
1.289063e+001       -3.437805e-002      
1.328125e+001       -3.381729e-002      
1.367188e+001       -3.198624e-002      
1.406250e+001       -3.681564e-002      
1.445313e+001       -3.593445e-002      
1.484375e+001       -3.446960e-002      
1.523438e+001       -3.593445e-002      
1.562500e+001       -3.490448e-002      
1.601563e+001       -3.616333e-002      
1.640625e+001       -3.393173e-002      
1.679688e+001       -3.120804e-002      
1.718750e+001       -3.226089e-002      
1.757813e+001       -3.079605e-002      
1.796875e+001       -3.583145e-002      
1.835938e+001       -3.231812e-002      
1.875000e+001       -3.205490e-002      
1.914063e+001       -3.254700e-002      
1.953125e+001       -3.077316e-002      
1.992188e+001       -3.091049e-002      
2.031250e+001       -3.128815e-002      
2.070313e+001       -3.164291e-002      
2.109375e+001       -3.030396e-002      
2.148438e+001       -2.967453e-002      
2.187500e+001       -3.281021e-002      
2.226563e+001       -3.064728e-002      
2.265625e+001       -2.910233e-002      
2.304688e+001       -2.882767e-002      
2.343750e+001       -3.041840e-002      
2.382813e+001       -3.029251e-002      
2.421875e+001       -2.985764e-002      
2.460938e+001       -2.978897e-002      
2.500000e+001       -2.888489e-002      
2.539063e+001       -3.053284e-002      
2.578125e+001       -2.989197e-002      
2.617188e+001       -2.887344e-002      
2.656250e+001       -2.945709e-002      
2.695313e+001       -3.053284e-002      
2.734375e+001       -2.895355e-002      
2.773438e+001       -2.796936e-002      
2.812500e+001       -2.747726e-002      
2.851563e+001       -3.004074e-002      
2.890625e+001       -2.970886e-002      
2.929688e+001       -2.967453e-002      
2.968750e+001       -2.680206e-002      
3.007813e+001       -3.118515e-002      
3.046875e+001       -2.867889e-002      
3.085938e+001       -2.912521e-002      
