Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -1.518745e-001      
3.906250e-001       -1.510506e-001      
7.812500e-001       -1.513824e-001      
1.171875e+000       -1.470222e-001      
1.562500e+000       -1.513138e-001      
1.953125e+000       -1.509247e-001      
2.343750e+000       -1.505814e-001      
2.734375e+000       -1.504440e-001      
3.125000e+000       -1.514854e-001      
3.515625e+000       -1.470108e-001      
3.906250e+000       -1.488190e-001      
4.296875e+000       -1.492882e-001      
4.687500e+000       -1.498833e-001      
5.078125e+000       -1.518402e-001      
5.468750e+000       -1.488419e-001      
5.859375e+000       -1.482010e-001      
6.250000e+000       -1.487732e-001      
6.640625e+000       -1.497803e-001      
7.031250e+000       -1.471024e-001      
7.421875e+000       -1.499634e-001      
7.812500e+000       -1.482124e-001      
8.203125e+000       -1.452026e-001      
8.593750e+000       -1.482353e-001      
8.984375e+000       -1.490707e-001      
9.375000e+000       -1.480980e-001      
9.765625e+000       -1.460381e-001      
1.015625e+001       -1.474571e-001      
1.054688e+001       -1.457405e-001      
1.093750e+001       -1.459923e-001      
1.132813e+001       -1.460037e-001      
1.171875e+001       -1.444931e-001      
1.210938e+001       -1.437950e-001      
1.250000e+001       -1.442986e-001      
1.289063e+001       -1.483955e-001      
1.328125e+001       -1.476860e-001      
1.367188e+001       -1.438065e-001      
1.406250e+001       -1.438751e-001      
1.445313e+001       -1.445160e-001      
1.484375e+001       -1.457176e-001      
1.523438e+001       -1.472969e-001      
1.562500e+001       -1.455345e-001      
1.601563e+001       -1.469078e-001      
1.640625e+001       -1.451912e-001      
1.679688e+001       -1.430626e-001      
1.718750e+001       -1.464729e-001      
1.757813e+001       -1.463699e-001      
1.796875e+001       -1.484985e-001      
1.835938e+001       -1.409798e-001      
1.875000e+001       -1.412315e-001      
1.914063e+001       -1.431656e-001      
1.953125e+001       -1.441498e-001      
1.992188e+001       -1.466103e-001      
2.031250e+001       -1.414032e-001      
2.070313e+001       -1.428337e-001      
2.109375e+001       -1.437607e-001      
2.148438e+001       -1.436005e-001      
2.187500e+001       -1.443214e-001      
2.226563e+001       -1.438522e-001      
2.265625e+001       -1.415291e-001      
2.304688e+001       -1.431656e-001      
2.343750e+001       -1.431656e-001      
2.382813e+001       -1.448364e-001      
2.421875e+001       -1.423531e-001      
2.460938e+001       -1.443100e-001      
2.500000e+001       -1.425591e-001      
2.539063e+001       -1.430054e-001      
2.578125e+001       -1.430855e-001      
2.617188e+001       -1.415634e-001      
