Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -3.902435e-002      
3.906250e-001       -3.951645e-002      
7.812500e-001       -3.706741e-002      
1.171875e+000       -3.779984e-002      
1.562500e+000       -3.628922e-002      
1.953125e+000       -3.631210e-002      
2.343750e+000       -3.556824e-002      
2.734375e+000       -3.668976e-002      
3.125000e+000       -3.726196e-002      
3.515625e+000       -3.602600e-002      
3.906250e+000       -3.495026e-002      
4.296875e+000       -3.704453e-002      
4.687500e+000       -3.869247e-002      
5.078125e+000       -3.507614e-002      
5.468750e+000       -3.598022e-002      
5.859375e+000       -3.511047e-002      
6.250000e+000       -3.331375e-002      
6.640625e+000       -3.444672e-002      
7.031250e+000       -3.400040e-002      
7.421875e+000       -3.487015e-002      
7.812500e+000       -3.158569e-002      
8.203125e+000       -3.196335e-002      
8.593750e+000       -3.649521e-002      
8.984375e+000       -3.188324e-002      
9.375000e+000       -3.374863e-002      
9.765625e+000       -3.159714e-002      
1.015625e+001       -3.129959e-002      
1.054688e+001       -3.040695e-002      
1.093750e+001       -2.967453e-002      
1.132813e+001       -3.228378e-002      
1.171875e+001       -2.956009e-002      
1.210938e+001       -3.359985e-002      
1.250000e+001       -3.089905e-002      
1.289063e+001       -2.982330e-002      
1.328125e+001       -2.906799e-002      
1.367188e+001       -3.220367e-002      
1.406250e+001       -2.915955e-002      
1.445313e+001       -2.825546e-002      
1.484375e+001       -2.845001e-002      
1.523438e+001       -2.743149e-002      
1.562500e+001       -2.684784e-002      
1.601563e+001       -2.843857e-002      
1.640625e+001       -2.778625e-002      
1.679688e+001       -2.619553e-002      
1.718750e+001       -2.704239e-002      
1.757813e+001       -2.712250e-002      
1.796875e+001       -2.499390e-002      
1.835938e+001       -2.454758e-002      
1.875000e+001       -2.674484e-002      
1.914063e+001       -2.572632e-002      
1.953125e+001       -2.735138e-002      
1.992188e+001       -2.470779e-002      
2.031250e+001       -2.574921e-002      
2.070313e+001       -2.364349e-002      
2.109375e+001       -2.465057e-002      
2.148438e+001       -2.696228e-002      
2.187500e+001       -2.620697e-002      
2.226563e+001       -2.562332e-002      
2.265625e+001       -2.494812e-002      
2.304688e+001       -2.392960e-002      
2.343750e+001       -2.209854e-002      
2.382813e+001       -2.277374e-002      
2.421875e+001       -2.289963e-002      
2.460938e+001       -2.118301e-002      
2.500000e+001       -2.200699e-002      
2.539063e+001       -2.386093e-002      
2.578125e+001       -2.427292e-002      
2.617188e+001       -2.110291e-002      
2.656250e+001       -2.256775e-002      
2.695313e+001       -2.366638e-002      
2.734375e+001       -2.265930e-002      
2.773438e+001       -2.265930e-002      
2.812500e+001       -2.228165e-002      
2.851563e+001       -2.241898e-002      
2.890625e+001       -2.079391e-002      
2.929688e+001       -2.294540e-002      
2.968750e+001       -1.953506e-002      
3.007813e+001       -1.850510e-002      
3.046875e+001       -1.835632e-002      
3.085938e+001       -1.946640e-002      
3.125000e+001       -2.030182e-002      
3.164063e+001       -1.795578e-002      
3.203125e+001       -1.682281e-002      
3.242188e+001       -1.808167e-002      
3.281250e+001       -1.796722e-002      
3.320313e+001       -1.952362e-002      
3.359375e+001       -1.910019e-002      
3.398438e+001       -1.848221e-002      
3.437500e+001       -1.847076e-002      
3.476563e+001       -1.959229e-002      
3.515625e+001       -1.681137e-002      
3.554688e+001       -1.920319e-002      
3.593750e+001       -2.041626e-002      
3.632813e+001       -2.002716e-002      
3.671875e+001       -1.610184e-002      
3.710938e+001       -1.609039e-002      
3.750000e+001       -1.642227e-002      
3.789063e+001       -1.593018e-002      
3.828125e+001       -1.601028e-002      
3.867188e+001       -1.630783e-002      
3.906250e+001       -1.634216e-002      
3.945313e+001       -1.896286e-002      
3.984375e+001       -1.604462e-002      
4.023438e+001       -1.560974e-002      
4.062500e+001       -1.721191e-002      
4.101563e+001       -1.374435e-002      
4.140625e+001       -1.613617e-002      
4.179688e+001       -1.404190e-002      
4.218750e+001       -1.343536e-002      
4.257813e+001       -1.383591e-002      
4.296875e+001       -1.318359e-002      
4.335938e+001       -1.659393e-002      
4.375000e+001       -1.327515e-002      
4.414063e+001       -1.603317e-002      
4.453125e+001       -1.327515e-002      
4.492188e+001       -1.562119e-002      
4.531250e+001       -1.338959e-002      
4.570313e+001       -1.122665e-002      
4.609375e+001       -1.126099e-002      
4.648438e+001       -1.023102e-002      
