Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -6.488800e-003      
3.906250e-001       -5.802155e-003      
7.812500e-001       -5.172729e-003      
1.171875e+000       -4.932404e-003      
1.562500e+000       -2.883911e-003      
1.953125e+000       -5.104065e-003      
2.343750e+000       -4.165649e-003      
2.734375e+000       -5.836487e-003      
3.125000e+000       -6.843567e-003      
3.515625e+000       -4.177094e-003      
3.906250e+000       -4.932404e-003      
4.296875e+000       -7.083893e-003      
4.687500e+000       -4.886627e-003      
5.078125e+000       -6.271362e-003      
5.468750e+000       -6.431580e-003      
5.859375e+000       -2.105713e-003      
6.250000e+000       -2.735138e-003      
6.640625e+000       -3.227234e-003      
7.031250e+000       -4.692078e-003      
7.421875e+000       -4.280090e-003      
7.812500e+000       -3.112793e-003      
8.203125e+000       -5.733490e-003      
8.593750e+000       -5.996704e-003      
8.984375e+000       -3.582001e-003      
9.375000e+000       -3.536224e-003      
9.765625e+000       -3.879547e-003      
1.015625e+001       -1.590729e-003      
1.054688e+001       -3.112793e-003      
1.093750e+001       -8.010864e-004      
1.132813e+001       -4.074097e-003      
1.171875e+001       -3.902435e-003      
1.210938e+001       -5.046844e-003      
1.250000e+001       -2.174377e-003      
1.289063e+001       -9.956360e-004      
1.328125e+001       -4.577637e-005      
1.367188e+001       -3.547668e-003      
1.406250e+001       -4.211426e-003      
1.445313e+001       -2.529144e-003      
1.484375e+001       -2.185822e-003      
1.523438e+001       -2.689362e-003      
1.562500e+001       -1.911163e-003      
1.601563e+001       -3.021240e-003      
1.640625e+001       -2.140045e-003      
1.679688e+001       -3.261566e-003      
1.718750e+001       -8.926392e-004      
1.757813e+001       -2.792358e-003      
1.796875e+001       -1.670837e-003      
1.835938e+001       1.258850e-004       
1.875000e+001       -1.029968e-003      
1.914063e+001       1.144409e-004       
1.953125e+001       9.269714e-004       
1.992188e+001       -1.808167e-003      
2.031250e+001       -9.269714e-004      
2.070313e+001       -2.998352e-003      
2.109375e+001       -8.354187e-004      
2.148438e+001       3.662109e-004       
2.187500e+001       -1.579285e-003      
2.226563e+001       1.144409e-003       
2.265625e+001       -8.125305e-004      
