Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -2.471924e-003      
3.906250e-001       -3.089905e-003      
7.812500e-001       -1.647949e-003      
1.171875e+000       -2.208710e-003      
1.562500e+000       -3.650665e-003      
1.953125e+000       -3.112793e-003      
2.343750e+000       -4.692078e-004      
2.734375e+000       -2.002716e-003      
3.125000e+000       -9.727478e-004      
3.515625e+000       -2.243042e-003      
3.906250e+000       2.059937e-004       
4.296875e+000       -2.918243e-003      
4.687500e+000       -8.811951e-004      
5.078125e+000       -2.048492e-003      
5.468750e+000       -2.975464e-004      
5.859375e+000       -4.692078e-004      
6.250000e+000       1.991272e-003       
6.640625e+000       2.746582e-004       
7.031250e+000       1.258850e-003       
7.421875e+000       1.144409e-003       
7.812500e+000       -9.155273e-004      
8.203125e+000       -1.052856e-003      
8.593750e+000       -1.007080e-003      
8.984375e+000       3.662109e-004       
9.375000e+000       -4.577637e-005      
9.765625e+000       -3.215790e-003      
1.015625e+001       -2.632141e-004      
1.054688e+001       2.380371e-003       
1.093750e+001       -2.185822e-003      
1.132813e+001       3.433228e-004       
1.171875e+001       -6.179810e-004      
1.210938e+001       6.752014e-004       
1.250000e+001       1.876831e-003       
1.289063e+001       -1.087189e-003      
1.328125e+001       -4.577637e-004      
1.367188e+001       -5.836487e-004      
1.406250e+001       2.563477e-003       
1.445313e+001       -4.348755e-004      
1.484375e+001       1.831055e-004       
1.523438e+001       4.119873e-004       
1.562500e+001       5.722046e-005       
1.601563e+001       1.373291e-003       
1.640625e+001       3.650665e-003       
1.679688e+001       6.752014e-004       
1.718750e+001       3.330231e-003       
1.757813e+001       3.742218e-003       
1.796875e+001       4.360199e-003       
1.835938e+001       3.067017e-003       
1.875000e+001       4.486084e-003       
1.914063e+001       3.456116e-003       
1.953125e+001       5.126953e-003       
1.992188e+001       4.028320e-003       
2.031250e+001       3.822327e-003       
2.070313e+001       3.170013e-003       
2.109375e+001       2.632141e-003       
2.148438e+001       4.096985e-003       
2.187500e+001       3.456116e-003       
2.226563e+001       3.604889e-003       
2.265625e+001       2.872467e-003       
2.304688e+001       3.192902e-003       
2.343750e+001       2.769470e-003       
2.382813e+001       3.261566e-003       
2.421875e+001       4.280090e-003       
2.460938e+001       3.753662e-003       
2.500000e+001       4.085541e-003       
2.539063e+001       2.906799e-003       
2.578125e+001       6.420135e-003       
2.617188e+001       3.387451e-003       
2.656250e+001       2.300262e-003       
2.695313e+001       4.955292e-003       
2.734375e+001       4.108429e-003       
2.773438e+001       3.604889e-003       
2.812500e+001       3.799438e-003       
2.851563e+001       3.513336e-003       
2.890625e+001       4.898071e-003       
2.929688e+001       4.211426e-003       
2.968750e+001       6.374359e-003       
3.007813e+001       6.408691e-003       
3.046875e+001       4.852295e-003       
3.085938e+001       4.165649e-003       
3.125000e+001       5.527496e-003       
3.164063e+001       5.138397e-003       
3.203125e+001       2.838135e-003       
3.242188e+001       3.845215e-003       
3.281250e+001       3.021240e-003       
3.320313e+001       3.650665e-003       
3.359375e+001       5.756378e-003       
3.398438e+001       6.557465e-003       
3.437500e+001       3.421783e-003       
3.476563e+001       4.268646e-003       
3.515625e+001       4.772186e-003       
3.554688e+001       6.500244e-003       
3.593750e+001       6.191254e-003       
3.632813e+001       5.149841e-003       
3.671875e+001       6.351471e-003       
3.710938e+001       4.188538e-003       
3.750000e+001       4.955292e-003       
3.789063e+001       5.195618e-003       
3.828125e+001       4.852295e-003       
3.867188e+001       5.252838e-003       
3.906250e+001       5.607605e-003       
3.945313e+001       6.042480e-003       
3.984375e+001       3.170013e-003       
4.023438e+001       5.424500e-003       
4.062500e+001       2.460480e-003       
4.101563e+001       5.012512e-003       
4.140625e+001       4.737854e-003       
4.179688e+001       4.989624e-003       
4.218750e+001       4.188538e-003       
4.257813e+001       4.154205e-003       
4.296875e+001       7.049561e-003       
4.335938e+001       6.488800e-003       
4.375000e+001       7.965088e-003       
4.414063e+001       7.312775e-003       
4.453125e+001       6.740570e-003       
4.492188e+001       4.634857e-003       
4.531250e+001       6.523132e-003       
4.570313e+001       6.179810e-003       
4.609375e+001       7.175446e-003       
4.648438e+001       6.889343e-003       
4.687500e+001       7.072449e-003       
4.726563e+001       7.942200e-003       
4.765625e+001       5.161285e-003       
4.804688e+001       7.884979e-003       
4.843750e+001       5.355835e-003       
4.882813e+001       4.589081e-003       
4.921875e+001       5.149841e-003       
4.960938e+001       4.188538e-003       
5.000000e+001       6.717682e-003       
5.039063e+001       5.092621e-003       
5.078125e+001       5.538940e-003       
5.117188e+001       5.241394e-003       
5.156250e+001       6.134033e-003       
5.195313e+001       7.770538e-003       
5.234375e+001       1.045990e-002       
5.273438e+001       6.134033e-003       
5.312500e+001       7.541656e-003       
5.351563e+001       6.694794e-003       
5.390625e+001       6.580353e-003       
5.429688e+001       9.349823e-003       
5.468750e+001       7.072449e-003       
5.507813e+001       8.525848e-003       
5.546875e+001       6.145477e-003       
5.585938e+001       8.800507e-003       
5.625000e+001       7.930756e-003       
5.664063e+001       7.038116e-003       
5.703125e+001       6.603241e-003       
5.742188e+001       8.274078e-003       
5.781250e+001       7.083893e-003       
5.820313e+001       8.422852e-003       
5.859375e+001       8.262634e-003       
5.898438e+001       8.159637e-003       
5.937500e+001       9.750366e-003       
5.976563e+001       9.452820e-003       
6.015625e+001       9.166718e-003       
6.054688e+001       9.292603e-003       
6.093750e+001       8.583069e-003       
6.132813e+001       6.843567e-003       
6.171875e+001       7.106781e-003       
6.210938e+001       9.166718e-003       
6.250000e+001       8.869171e-003       
6.289063e+001       6.889343e-003       
6.328125e+001       7.312775e-003       
6.367188e+001       6.671906e-003       
6.406250e+001       7.061005e-003       
6.445313e+001       9.624481e-003       
6.484375e+001       7.438660e-003       
6.523438e+001       9.349823e-003       
6.562500e+001       7.209778e-003       
6.601563e+001       1.012802e-002       
6.640625e+001       9.647369e-003       
6.679688e+001       1.032257e-002       
6.718750e+001       9.029388e-003       
6.757813e+001       1.009369e-002       
6.796875e+001       8.033752e-003       
6.835938e+001       1.083755e-002       
6.875000e+001       1.063156e-002       
6.914063e+001       9.670258e-003       
6.953125e+001       8.331299e-003       
6.992188e+001       8.777618e-003       
7.031250e+001       1.005936e-002       
7.070313e+001       1.051712e-002       
7.109375e+001       8.434296e-003       
7.148438e+001       8.628845e-003       
7.187500e+001       1.096344e-002       
7.226563e+001       9.304047e-003       
7.265625e+001       7.759094e-003       
7.304688e+001       8.811951e-003       
7.343750e+001       1.115799e-002       
7.382813e+001       1.021957e-002       
7.421875e+001       7.152557e-003       
7.460938e+001       1.062012e-002       
7.500000e+001       1.032257e-002       
7.539063e+001       8.102417e-003       
7.578125e+001       6.717682e-003       
7.617188e+001       9.475708e-003       
7.656250e+001       1.060867e-002       
7.695313e+001       9.166718e-003       
7.734375e+001       9.361267e-003       
7.773438e+001       9.475708e-003       
7.812500e+001       1.003647e-002       
7.851563e+001       7.461548e-003       
7.890625e+001       1.062012e-002       
7.929688e+001       9.647369e-003       
7.968750e+001       1.303482e-002       
8.007813e+001       1.047134e-002       
8.046875e+001       1.002502e-002       
8.085938e+001       1.018524e-002       
8.125000e+001       9.223938e-003       
8.164063e+001       7.061005e-003       
8.203125e+001       8.686066e-003       
8.242188e+001       8.983612e-003       
8.281250e+001       8.949280e-003       
8.320313e+001       9.647369e-003       
8.359375e+001       1.123810e-002       
8.398438e+001       7.369995e-003       
8.437500e+001       1.240540e-002       
8.476563e+001       1.282883e-002       
8.515625e+001       1.118088e-002       
8.554688e+001       1.059723e-002       
8.593750e+001       1.075745e-002       
8.632813e+001       1.103210e-002       
8.671875e+001       1.068878e-002       
8.710938e+001       1.124954e-002       
8.750000e+001       1.170731e-002       
8.789063e+001       1.293182e-002       
8.828125e+001       1.050568e-002       
8.867188e+001       1.026535e-002       
8.906250e+001       1.185608e-002       
8.945313e+001       1.135254e-002       
8.984375e+001       9.693146e-003       
9.023438e+001       1.005936e-002       
9.062500e+001       1.318359e-002       
9.101563e+001       1.185608e-002       
9.140625e+001       1.111221e-002       
9.179688e+001       1.207352e-002       
9.218750e+001       1.049423e-002       
