Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -2.219009e-002      
3.906250e-001       -1.807022e-002      
7.812500e-001       -1.811600e-002      
1.171875e+000       -1.825333e-002      
1.562500e+000       -1.686859e-002      
1.953125e+000       -1.857376e-002      
2.343750e+000       -1.765823e-002      
2.734375e+000       -1.952362e-002      
3.125000e+000       -1.817322e-002      
3.515625e+000       -1.802444e-002      
3.906250e+000       -1.459122e-002      
4.296875e+000       -1.563263e-002      
4.687500e+000       -1.747513e-002      
5.078125e+000       -1.704025e-002      
5.468750e+000       -1.439667e-002      
5.859375e+000       -1.699448e-002      
6.250000e+000       -1.517487e-002      
6.640625e+000       -1.532364e-002      
7.031250e+000       -1.519775e-002      
7.421875e+000       -1.557541e-002      
7.812500e+000       -1.340103e-002      
8.203125e+000       -1.585007e-002      
8.593750e+000       -1.350403e-002      
8.984375e+000       -1.388168e-002      
9.375000e+000       -1.142120e-002      
9.765625e+000       -1.256561e-002      
1.015625e+001       -9.796143e-003      
1.054688e+001       -1.120377e-002      
1.093750e+001       -1.124954e-002      
1.132813e+001       -1.262283e-002      
1.171875e+001       -9.796143e-003      
1.210938e+001       -1.240540e-002      
1.250000e+001       -8.056641e-003      
1.289063e+001       -1.019669e-002      
1.328125e+001       -9.796143e-003      
1.367188e+001       -1.272583e-002      
1.406250e+001       -8.708954e-003      
1.445313e+001       -9.601593e-003      
1.484375e+001       -1.142120e-002      
1.523438e+001       -9.704590e-003      
1.562500e+001       -8.754730e-003      
1.601563e+001       -9.441376e-003      
1.640625e+001       -1.110077e-002      
1.679688e+001       -7.724762e-003      
1.718750e+001       -8.399963e-003      
1.757813e+001       -7.667542e-003      
1.796875e+001       -1.258850e-002      
1.835938e+001       -7.747650e-003      
1.875000e+001       -5.218506e-003      
1.914063e+001       -1.068878e-002      
1.953125e+001       -6.477356e-003      
1.992188e+001       -7.415771e-003      
2.031250e+001       -7.736206e-003      
2.070313e+001       -6.340027e-003      
2.109375e+001       -6.614685e-003      
2.148438e+001       -5.893707e-003      
2.187500e+001       -4.714966e-003      
2.226563e+001       -8.422852e-003      
2.265625e+001       -8.834839e-003      
2.304688e+001       -4.096985e-003      
2.343750e+001       -4.589081e-003      
2.382813e+001       -5.779266e-003      
2.421875e+001       -5.516052e-003      
2.460938e+001       -3.787994e-003      
2.500000e+001       -4.302979e-003      
2.539063e+001       -5.298615e-003      
2.578125e+001       -4.314423e-003      
2.617188e+001       -4.875183e-003      
2.656250e+001       -7.667542e-004      
2.695313e+001       -2.792358e-003      
2.734375e+001       -3.890991e-003      
2.773438e+001       -2.243042e-003      
2.812500e+001       -1.853943e-003      
2.851563e+001       -6.866455e-004      
2.890625e+001       -4.577637e-004      
2.929688e+001       -3.009796e-003      
2.968750e+001       -1.041412e-003      
3.007813e+001       -5.035400e-004      
3.046875e+001       -3.318787e-004      
3.085938e+001       -1.831055e-004      
3.125000e+001       -6.980896e-004      
3.164063e+001       1.144409e-005       
3.203125e+001       7.667542e-004       
3.242188e+001       -6.408691e-004      
3.281250e+001       3.433228e-005       
3.320313e+001       -1.029968e-003      
3.359375e+001       -2.838135e-003      
3.398438e+001       -1.270294e-003      
3.437500e+001       2.746582e-004       
3.476563e+001       1.991272e-003       
3.515625e+001       1.293182e-003       
3.554688e+001       -4.234314e-004      
3.593750e+001       1.487732e-004       
3.632813e+001       5.950928e-004       
3.671875e+001       -5.607605e-004      
3.710938e+001       9.269714e-004       
3.750000e+001       1.235962e-003       
3.789063e+001       -2.174377e-004      
3.828125e+001       -5.836487e-004      
3.867188e+001       2.517700e-004       
