Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -2.000427e-001      
3.906250e-001       -1.993561e-001      
7.812500e-001       -1.992989e-001      
1.171875e+000       -1.990471e-001      
1.562500e+000       -1.983948e-001      
1.953125e+000       -1.959343e-001      
2.343750e+000       -1.959229e-001      
2.734375e+000       -1.989670e-001      
3.125000e+000       -1.952133e-001      
3.515625e+000       -1.949959e-001      
3.906250e+000       -1.959915e-001      
4.296875e+000       -1.944809e-001      
4.687500e+000       -1.927986e-001      
5.078125e+000       -1.924896e-001      
5.468750e+000       -1.945267e-001      
5.859375e+000       -1.951561e-001      
6.250000e+000       -1.934166e-001      
6.640625e+000       -1.944008e-001      
7.031250e+000       -1.939659e-001      
7.421875e+000       -1.908646e-001      
7.812500e+000       -1.892395e-001      
8.203125e+000       -1.926384e-001      
8.593750e+000       -1.946297e-001      
8.984375e+000       -1.902008e-001      
9.375000e+000       -1.871452e-001      
9.765625e+000       -1.907387e-001      
1.015625e+001       -1.888504e-001      
1.054688e+001       -1.871452e-001      
1.093750e+001       -1.843185e-001      
1.132813e+001       -1.865273e-001      
1.171875e+001       -1.881866e-001      
1.210938e+001       -1.871796e-001      
1.250000e+001       -1.864929e-001      
1.289063e+001       -1.815720e-001      
1.328125e+001       -1.870537e-001      
1.367188e+001       -1.854858e-001      
1.406250e+001       -1.822701e-001      
1.445313e+001       -1.838493e-001      
1.484375e+001       -1.837349e-001      
1.523438e+001       -1.825104e-001      
1.562500e+001       -1.843414e-001      
1.601563e+001       -1.838951e-001      
1.640625e+001       -1.828880e-001      
1.679688e+001       -1.869736e-001      
1.718750e+001       -1.832771e-001      
1.757813e+001       -1.810684e-001      
1.796875e+001       -1.820869e-001      
1.835938e+001       -1.794090e-001      
1.875000e+001       -1.790428e-001      
1.914063e+001       -1.780128e-001      
1.953125e+001       -1.816521e-001      
1.992188e+001       -1.819496e-001      
2.031250e+001       -1.792145e-001      
2.070313e+001       -1.829796e-001      
2.109375e+001       -1.834602e-001      
2.148438e+001       -1.803360e-001      
2.187500e+001       -1.812515e-001      
2.226563e+001       -1.799812e-001      
2.265625e+001       -1.801872e-001      
2.304688e+001       -1.745911e-001      
2.343750e+001       -1.775665e-001      
2.382813e+001       -1.774292e-001      
2.421875e+001       -1.781387e-001      
2.460938e+001       -1.797066e-001      
2.500000e+001       -1.753120e-001      
2.539063e+001       -1.749458e-001      
2.578125e+001       -1.768684e-001      
2.617188e+001       -1.754379e-001      
2.656250e+001       -1.741104e-001      
2.695313e+001       -1.757584e-001      
2.734375e+001       -1.774063e-001      
2.773438e+001       -1.759071e-001      
2.812500e+001       -1.757813e-001      
2.851563e+001       -1.725540e-001      
2.890625e+001       -1.715584e-001      
2.929688e+001       -1.725082e-001      
2.968750e+001       -1.715469e-001      
3.007813e+001       -1.721191e-001      
3.046875e+001       -1.764793e-001      
3.085938e+001       -1.743507e-001      
3.125000e+001       -1.720161e-001      
