Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -1.023102e-002      
3.906250e-001       -1.052856e-002      
7.812500e-001       -9.750366e-003      
1.171875e+000       -1.008224e-002      
1.562500e+000       -9.281158e-003      
1.953125e+000       -7.930756e-003      
2.343750e+000       -9.075165e-003      
2.734375e+000       -1.037979e-002      
3.125000e+000       -1.018524e-002      
3.515625e+000       -8.766174e-003      
3.906250e+000       -1.024246e-002      
4.296875e+000       -9.853363e-003      
4.687500e+000       -1.041412e-002      
5.078125e+000       -9.796143e-003      
5.468750e+000       -9.567261e-003      
5.859375e+000       -6.568909e-003      
6.250000e+000       -8.068085e-003      
6.640625e+000       -6.763458e-003      
7.031250e+000       -8.640289e-003      
7.421875e+000       -8.708954e-003      
7.812500e+000       -8.411407e-003      
8.203125e+000       -8.308411e-003      
8.593750e+000       -9.567261e-003      
8.984375e+000       -6.786346e-003      
9.375000e+000       -7.587433e-003      
9.765625e+000       -7.495880e-003      
1.015625e+001       -6.111145e-003      
1.054688e+001       -8.342743e-003      
1.093750e+001       -7.839203e-003      
1.132813e+001       -9.670258e-003      
1.171875e+001       -6.660461e-003      
1.210938e+001       -9.372711e-003      
1.250000e+001       -7.450104e-003      
1.289063e+001       -6.923676e-003      
1.328125e+001       -1.009369e-002      
1.367188e+001       -7.553101e-003      
1.406250e+001       -7.015228e-003      
1.445313e+001       -6.832123e-003      
1.484375e+001       -8.617401e-003      
1.523438e+001       -7.072449e-003      
1.562500e+001       -6.866455e-003      
1.601563e+001       -5.813599e-003      
1.640625e+001       -5.744934e-003      
1.679688e+001       -7.015228e-003      
1.718750e+001       -8.113861e-003      
1.757813e+001       -4.714966e-003      
1.796875e+001       -5.447388e-003      
1.835938e+001       -5.687714e-003      
1.875000e+001       -6.122589e-003      
1.914063e+001       -6.179810e-003      
1.953125e+001       -6.580353e-003      
1.992188e+001       -5.161285e-003      
2.031250e+001       -4.840851e-003      
2.070313e+001       -5.252838e-003      
2.109375e+001       -9.315491e-003      
2.148438e+001       -6.637573e-003      
2.187500e+001       -6.259918e-003      
2.226563e+001       -6.671906e-003      
2.265625e+001       -4.783630e-003      
2.304688e+001       -8.880615e-003      
2.343750e+001       -8.216858e-003      
2.382813e+001       -4.360199e-003      
2.421875e+001       -4.039764e-003      
2.460938e+001       -7.518768e-003      
2.500000e+001       -6.042480e-003      
2.539063e+001       -3.650665e-003      
2.578125e+001       -5.802155e-003      
2.617188e+001       -2.334595e-003      
2.656250e+001       -5.905151e-003      
2.695313e+001       -3.009796e-003      
2.734375e+001       -5.435944e-003      
2.773438e+001       -6.099701e-003      
2.812500e+001       -5.722046e-003      
2.851563e+001       -4.394531e-003      
2.890625e+001       -4.337311e-003      
2.929688e+001       -5.081177e-003      
2.968750e+001       -6.374359e-003      
3.007813e+001       -2.643585e-003      
3.046875e+001       -3.089905e-003      
3.085938e+001       -3.879547e-003      
3.125000e+001       -4.554749e-003      
3.164063e+001       -5.733490e-003      
3.203125e+001       -4.703522e-003      
3.242188e+001       -2.780914e-003      
3.281250e+001       -5.630493e-003      
3.320313e+001       -5.207062e-003      
3.359375e+001       -3.204346e-003      
3.398438e+001       -5.413055e-003      
3.437500e+001       -3.662109e-003      
3.476563e+001       -5.596161e-003      
3.515625e+001       -3.135681e-003      
3.554688e+001       -2.197266e-003      
3.593750e+001       -2.689362e-003      
3.632813e+001       -4.131317e-003      
3.671875e+001       -1.350403e-003      
3.710938e+001       -3.959656e-003      
3.750000e+001       -1.853943e-003      
3.789063e+001       -2.540588e-003      
3.828125e+001       -3.421783e-003      
3.867188e+001       -3.295898e-003      
3.906250e+001       -7.072449e-003      
3.945313e+001       -4.383087e-003      
3.984375e+001       -4.405975e-003      
4.023438e+001       -1.338959e-003      
4.062500e+001       -3.078461e-003      
4.101563e+001       -3.547668e-003      
4.140625e+001       -8.583069e-004      
4.179688e+001       -2.059937e-003      
4.218750e+001       -1.144409e-003      
4.257813e+001       -2.506256e-003      
4.296875e+001       -4.222870e-003      
4.335938e+001       -1.316071e-003      
4.375000e+001       -2.014160e-003      
4.414063e+001       -2.357483e-003      
4.453125e+001       -1.556396e-003      
4.492188e+001       8.926392e-004       
4.531250e+001       -1.899719e-003      
4.570313e+001       -3.936768e-003      
4.609375e+001       -4.508972e-003      
4.648438e+001       -1.487732e-003      
4.687500e+001       -6.637573e-004      
4.726563e+001       -1.430511e-003      
4.765625e+001       -2.037048e-003      
4.804688e+001       -1.659393e-003      
4.843750e+001       -2.895355e-003      
4.882813e+001       -6.523132e-004      
4.921875e+001       -6.294250e-004      
4.960938e+001       -2.861023e-003      
5.000000e+001       -3.639221e-003      
5.039063e+001       -1.338959e-003      
5.078125e+001       5.950928e-004       
5.117188e+001       -1.682281e-003      
5.156250e+001       -1.625061e-003      
5.195313e+001       -3.890991e-004      
5.234375e+001       -9.269714e-004      
5.273438e+001       -3.101349e-003      
5.312500e+001       -9.956360e-004      
5.351563e+001       -2.380371e-003      
5.390625e+001       -2.105713e-003      
5.429688e+001       -3.776550e-004      
5.468750e+001       -4.577637e-005      
5.507813e+001       5.722046e-005       
5.546875e+001       7.095337e-004       
5.585938e+001       -6.408691e-004      
5.625000e+001       1.361847e-003       
5.664063e+001       -3.890991e-004      
5.703125e+001       -4.119873e-004      
5.742188e+001       1.419067e-003       
5.781250e+001       1.052856e-003       
5.820313e+001       1.430511e-003       
5.859375e+001       -1.144409e-003      
5.898438e+001       -4.920959e-004      
5.937500e+001       -3.433228e-004      
5.976563e+001       3.089905e-004       
6.015625e+001       1.831055e-004       
6.054688e+001       1.190186e-003       
6.093750e+001       1.693726e-003       
6.132813e+001       -6.866455e-004      
6.171875e+001       7.781982e-004       
6.210938e+001       -1.373291e-004      
