Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -2.588655e-002      
3.906250e-001       -2.458193e-002      
7.812500e-001       -2.619554e-002      
1.171875e+000       -2.479937e-002      
1.562500e+000       -2.647020e-002      
1.953125e+000       -2.363207e-002      
2.343750e+000       -2.592089e-002      
2.734375e+000       -2.389528e-002      
3.125000e+000       -2.469637e-002      
3.515625e+000       -2.370073e-002      
3.906250e+000       -2.318575e-002      
4.296875e+000       -2.245332e-002      
4.687500e+000       -2.320863e-002      
5.078125e+000       -2.294542e-002      
5.468750e+000       -2.531435e-002      
5.859375e+000       -2.430727e-002      
6.250000e+000       -2.297975e-002      
6.640625e+000       -1.943208e-002      
7.031250e+000       -2.255632e-002      
7.421875e+000       -2.262499e-002      
7.812500e+000       -2.468492e-002      
8.203125e+000       -2.235033e-002      
8.593750e+000       -2.328874e-002      
8.984375e+000       -2.305986e-002      
9.375000e+000       -2.239610e-002      
9.765625e+000       -1.958086e-002      
1.015625e+001       -2.057649e-002      
1.054688e+001       -2.229311e-002      
1.093750e+001       -2.153780e-002      
1.132813e+001       -2.455904e-002      
1.171875e+001       -2.216722e-002      
1.210938e+001       -2.156068e-002      
1.250000e+001       -2.188112e-002      
1.289063e+001       -2.120592e-002      
1.328125e+001       -2.133180e-002      
1.367188e+001       -2.143480e-002      
1.406250e+001       -2.103426e-002      
1.445313e+001       -2.137758e-002      
1.484375e+001       -2.032472e-002      
1.523438e+001       -2.079393e-002      
1.562500e+001       -2.221300e-002      
1.601563e+001       -2.184679e-002      
1.640625e+001       -2.170946e-002      
1.679688e+001       -2.177812e-002      
1.718750e+001       -1.937486e-002      
1.757813e+001       -2.066804e-002      
1.796875e+001       -2.230455e-002      
1.835938e+001       -2.197267e-002      
1.875000e+001       -1.864244e-002      
1.914063e+001       -1.948930e-002      
1.953125e+001       -2.095415e-002      
1.992188e+001       -1.944353e-002      
2.031250e+001       -2.206422e-002      
2.070313e+001       -1.955797e-002      
2.109375e+001       -2.009584e-002      
2.148438e+001       -1.877977e-002      
2.187500e+001       -2.129747e-002      
2.226563e+001       -2.015306e-002      
2.265625e+001       -1.848222e-002      
2.304688e+001       -1.919175e-002      
2.343750e+001       -1.816179e-002      
2.382813e+001       -2.054216e-002      
2.421875e+001       -1.843644e-002      
2.460938e+001       -1.864244e-002      
2.500000e+001       -1.968385e-002      
2.539063e+001       -1.890565e-002      
2.578125e+001       -1.954652e-002      
2.617188e+001       -2.010728e-002      
2.656250e+001       -1.890565e-002      
2.695313e+001       -1.741792e-002      
2.734375e+001       -1.815034e-002      
2.773438e+001       -2.184679e-002      
2.812500e+001       -1.544954e-002      
2.851563e+001       -1.738359e-002      
2.890625e+001       -1.808168e-002      
2.929688e+001       -1.781846e-002      
2.968750e+001       -1.939775e-002      
3.007813e+001       -1.954652e-002      
3.046875e+001       -1.750947e-002      
3.085938e+001       -1.835634e-002      
3.125000e+001       -1.417924e-002      
3.164063e+001       -1.598741e-002      
3.203125e+001       -1.796724e-002      
3.242188e+001       -1.683427e-002      
3.281250e+001       -1.484300e-002      
3.320313e+001       -1.794435e-002      
3.359375e+001       -1.582719e-002      
3.398438e+001       -1.657106e-002      
3.437500e+001       -1.706315e-002      
3.476563e+001       -1.847078e-002      
3.515625e+001       -1.673127e-002      
3.554688e+001       -1.622773e-002      
3.593750e+001       -1.536943e-002      
3.632813e+001       -1.732637e-002      
3.671875e+001       -1.395036e-002      
3.710938e+001       -1.837922e-002      
3.750000e+001       -1.522065e-002      
3.789063e+001       -1.756669e-002      
3.828125e+001       -1.596452e-002      
3.867188e+001       -1.923753e-002      
3.906250e+001       -1.570131e-002      
3.945313e+001       -1.507188e-002      
3.984375e+001       -1.544954e-002      
4.023438e+001       -1.588441e-002      
4.062500e+001       -1.685716e-002      
4.101563e+001       -1.726915e-002      
4.140625e+001       -1.368714e-002      
4.179688e+001       -1.384736e-002      
4.218750e+001       -1.681138e-002      
4.257813e+001       -1.562120e-002      
4.296875e+001       -1.432801e-002      
4.335938e+001       -1.631929e-002      
4.375000e+001       -1.653672e-002      
4.414063e+001       -1.440812e-002      
4.453125e+001       -1.435090e-002      
4.492188e+001       -1.660539e-002      
4.531250e+001       -1.574708e-002      
4.570313e+001       -1.532365e-002      
4.609375e+001       -1.512910e-002      
4.648438e+001       -1.615907e-002      
4.687500e+001       -1.467134e-002      
4.726563e+001       -1.294328e-002      
4.765625e+001       -1.603318e-002      
4.804688e+001       -1.560975e-002      
4.843750e+001       -1.263429e-002      
4.882813e+001       -1.407624e-002      
4.921875e+001       -1.630784e-002      
4.960938e+001       -1.320649e-002      
5.000000e+001       -1.474000e-002      
5.039063e+001       -1.441957e-002      
5.078125e+001       -1.565553e-002      
5.117188e+001       -1.595308e-002      
5.156250e+001       -1.392747e-002      
5.195313e+001       -1.392747e-002      
5.234375e+001       -1.413346e-002      
5.273438e+001       -1.358415e-002      
5.312500e+001       -1.155854e-002      
5.351563e+001       -1.285172e-002      
5.390625e+001       -1.290894e-002      
5.429688e+001       -1.138688e-002      
5.468750e+001       -1.214219e-002      
5.507813e+001       -1.314927e-002      
5.546875e+001       -1.227952e-002      
5.585938e+001       -1.235963e-002      
5.625000e+001       -1.350404e-002      
5.664063e+001       -1.469422e-002      
5.703125e+001       -1.380158e-002      
5.742188e+001       -1.332093e-002      
5.781250e+001       -1.457978e-002      
5.820313e+001       -1.354981e-002      
5.859375e+001       -1.324082e-002      
5.898438e+001       -1.560975e-002      
5.937500e+001       -1.421357e-002      
5.976563e+001       -1.242829e-002      
6.015625e+001       -1.239396e-002      
6.054688e+001       -1.238252e-002      
6.093750e+001       -1.313783e-002      
6.132813e+001       -1.271440e-002      
6.171875e+001       -1.318360e-002      
6.210938e+001       -1.227952e-002      
6.250000e+001       -1.439668e-002      
6.289063e+001       -1.198197e-002      
