Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -8.402252e-002      
3.906250e-001       -8.292389e-002      
7.812500e-001       -8.307266e-002      
1.171875e+000       -8.390808e-002      
1.562500e+000       -8.457184e-002      
1.953125e+000       -8.409119e-002      
2.343750e+000       -8.690643e-002      
2.734375e+000       -8.333588e-002      
3.125000e+000       -8.532715e-002      
3.515625e+000       -8.557892e-002      
3.906250e+000       -8.536148e-002      
4.296875e+000       -8.470917e-002      
4.687500e+000       -8.359909e-002      
5.078125e+000       -8.480072e-002      
5.468750e+000       -8.596802e-002      
5.859375e+000       -8.563614e-002      
6.250000e+000       -8.346176e-002      
6.640625e+000       -8.237457e-002      
7.031250e+000       -8.229446e-002      
7.421875e+000       -8.303833e-002      
7.812500e+000       -8.494949e-002      
8.203125e+000       -8.211136e-002      
8.593750e+000       -8.231735e-002      
8.984375e+000       -8.207703e-002      
9.375000e+000       -8.089828e-002      
9.765625e+000       -8.223724e-002      
1.015625e+001       -8.224869e-002      
1.054688e+001       -8.271790e-002      
1.093750e+001       -8.231735e-002      
1.132813e+001       -8.309555e-002      
1.171875e+001       -8.185959e-002      
1.210938e+001       -8.129883e-002      
1.250000e+001       -8.465195e-002      
1.289063e+001       -8.031464e-002      
1.328125e+001       -8.149338e-002      
1.367188e+001       -8.228302e-002      
1.406250e+001       -8.261490e-002      
1.445313e+001       -8.261490e-002      
1.484375e+001       -8.285522e-002      
1.523438e+001       -8.117294e-002      
1.562500e+001       -8.267212e-002      
1.601563e+001       -8.239746e-002      
1.640625e+001       -8.493805e-002      
1.679688e+001       -8.171082e-002      
1.718750e+001       -7.721329e-002      
1.757813e+001       -8.082962e-002      
1.796875e+001       -8.158493e-002      
1.835938e+001       -7.922745e-002      
1.875000e+001       -8.021164e-002      
1.914063e+001       -8.211136e-002      
1.953125e+001       -8.068085e-002      
1.992188e+001       -7.818604e-002      
2.031250e+001       -7.868958e-002      
2.070313e+001       -7.914734e-002      
2.109375e+001       -7.862091e-002      
2.148438e+001       -8.133316e-002      
2.187500e+001       -7.998276e-002      
2.226563e+001       -7.901001e-002      
2.265625e+001       -7.746506e-002      
2.304688e+001       -7.981110e-002      
2.343750e+001       -7.596588e-002      
2.382813e+001       -7.858658e-002      
2.421875e+001       -7.899857e-002      
2.460938e+001       -7.807159e-002      
2.500000e+001       -7.724762e-002      
2.539063e+001       -7.777405e-002      
2.578125e+001       -8.066940e-002      
2.617188e+001       -7.688141e-002      
2.656250e+001       -7.878113e-002      
2.695313e+001       -7.902145e-002      
2.734375e+001       -7.822037e-002      
2.773438e+001       -7.796860e-002      
2.812500e+001       -8.037186e-002      
2.851563e+001       -7.876968e-002      
2.890625e+001       -7.977676e-002      
2.929688e+001       -7.864380e-002      
2.968750e+001       -8.052063e-002      
3.007813e+001       -7.618332e-002      
3.046875e+001       -7.424927e-002      
3.085938e+001       -7.917023e-002      
3.125000e+001       -7.711029e-002      
3.164063e+001       -7.673264e-002      
3.203125e+001       -7.697296e-002      
3.242188e+001       -7.781982e-002      
3.281250e+001       -7.667542e-002      
3.320313e+001       -7.865524e-002      
3.359375e+001       -7.757950e-002      
3.398438e+001       -7.706451e-002      
3.437500e+001       -7.447815e-002      
3.476563e+001       -7.674408e-002      
3.515625e+001       -7.764816e-002      
3.554688e+001       -7.886124e-002      
3.593750e+001       -7.491302e-002      
3.632813e+001       -7.746506e-002      
3.671875e+001       -7.614899e-002      
3.710938e+001       -7.574844e-002      
3.750000e+001       -7.621765e-002      
3.789063e+001       -7.590866e-002      
3.828125e+001       -7.305908e-002      
3.867188e+001       -7.712173e-002      
3.906250e+001       -7.597733e-002      
3.945313e+001       -7.704163e-002      
3.984375e+001       -7.614899e-002      
4.023438e+001       -7.652664e-002      
4.062500e+001       -7.701874e-002      
4.101563e+001       -7.725906e-002      
4.140625e+001       -7.584000e-002      
4.179688e+001       -7.744217e-002      
4.218750e+001       -7.489014e-002      
4.257813e+001       -7.537079e-002      
4.296875e+001       -7.530212e-002      
4.335938e+001       -7.283020e-002      
4.375000e+001       -7.657242e-002      
4.414063e+001       -7.570267e-002      
4.453125e+001       -7.553101e-002      
4.492188e+001       -7.341385e-002      
4.531250e+001       -7.356262e-002      
4.570313e+001       -7.577133e-002      
4.609375e+001       -7.319641e-002      
4.648438e+001       -7.678986e-002      
4.687500e+001       -7.301331e-002      
4.726563e+001       -7.317352e-002      
4.765625e+001       -7.448959e-002      
4.804688e+001       -7.262421e-002      
4.843750e+001       -7.556534e-002      
4.882813e+001       -7.220078e-002      
4.921875e+001       -7.516479e-002      
4.960938e+001       -7.333374e-002      
5.000000e+001       -7.492447e-002      
5.039063e+001       -7.032394e-002      
5.078125e+001       -7.501602e-002      
