Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -4.051208e-002      
3.906250e-001       -3.770828e-002      
7.812500e-001       -3.822327e-002      
1.171875e+000       -4.111862e-002      
1.562500e+000       -3.822327e-002      
1.953125e+000       -3.752518e-002      
2.343750e+000       -3.728485e-002      
2.734375e+000       -3.918457e-002      
3.125000e+000       -4.016876e-002      
3.515625e+000       -3.920746e-002      
3.906250e+000       -3.770828e-002      
4.296875e+000       -3.758240e-002      
4.687500e+000       -3.809738e-002      
5.078125e+000       -3.810883e-002      
5.468750e+000       -3.874969e-002      
5.859375e+000       -3.641510e-002      
6.250000e+000       -3.879547e-002      
6.640625e+000       -3.707886e-002      
7.031250e+000       -3.405762e-002      
7.421875e+000       -3.687286e-002      
7.812500e+000       -3.753662e-002      
8.203125e+000       -3.727341e-002      
8.593750e+000       -3.717041e-002      
8.984375e+000       -3.786850e-002      
9.375000e+000       -3.694153e-002      
9.765625e+000       -3.647232e-002      
1.015625e+001       -3.848648e-002      
1.054688e+001       -3.734207e-002      
1.093750e+001       -3.798294e-002      
1.132813e+001       -3.714752e-002      
1.171875e+001       -3.664398e-002      
1.210938e+001       -3.787994e-002      
1.250000e+001       -3.656387e-002      
1.289063e+001       -3.742218e-002      
1.328125e+001       -3.719330e-002      
1.367188e+001       -3.738785e-002      
1.406250e+001       -3.774261e-002      
1.445313e+001       -3.622055e-002      
1.484375e+001       -3.449249e-002      
1.523438e+001       -3.250122e-002      
1.562500e+001       -3.338242e-002      
1.601563e+001       -3.509903e-002      
1.640625e+001       -3.539658e-002      
1.679688e+001       -3.554535e-002      
1.718750e+001       -3.598022e-002      
1.757813e+001       -3.386307e-002      
1.796875e+001       -3.567123e-002      
1.835938e+001       -3.268433e-002      
1.875000e+001       -3.445816e-002      
1.914063e+001       -3.664398e-002      
1.953125e+001       -3.635788e-002      
1.992188e+001       -3.465271e-002      
2.031250e+001       -3.362274e-002      
2.070313e+001       -3.545380e-002      
2.109375e+001       -3.449249e-002      
2.148438e+001       -3.609467e-002      
2.187500e+001       -3.266144e-002      
2.226563e+001       -3.492737e-002      
2.265625e+001       -3.627777e-002      
2.304688e+001       -3.616333e-002      
2.343750e+001       -3.643799e-002      
2.382813e+001       -3.461838e-002      
2.421875e+001       -3.388596e-002      
2.460938e+001       -3.458405e-002      
