Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -1.135025e-001      
3.906250e-001       -1.129189e-001      
7.812500e-001       -1.143379e-001      
1.171875e+000       -1.163635e-001      
1.562500e+000       -1.130791e-001      
1.953125e+000       -1.170845e-001      
2.343750e+000       -1.161690e-001      
2.734375e+000       -1.149673e-001      
3.125000e+000       -1.118317e-001      
3.515625e+000       -1.141548e-001      
3.906250e+000       -1.148529e-001      
4.296875e+000       -1.119347e-001      
4.687500e+000       -1.118546e-001      
5.078125e+000       -1.127815e-001      
5.468750e+000       -1.134911e-001      
5.859375e+000       -1.125298e-001      
6.250000e+000       -1.125870e-001      
6.640625e+000       -1.144066e-001      
7.031250e+000       -1.121635e-001      
7.421875e+000       -1.117973e-001      
7.812500e+000       -1.119919e-001      
8.203125e+000       -1.125641e-001      
8.593750e+000       -1.129074e-001      
8.984375e+000       -1.115112e-001      
9.375000e+000       -1.145096e-001      
9.765625e+000       -1.139259e-001      
1.015625e+001       -1.100807e-001      
1.054688e+001       -1.130104e-001      
1.093750e+001       -1.088448e-001      
1.132813e+001       -1.124496e-001      
1.171875e+001       -1.138802e-001      
1.210938e+001       -1.116486e-001      
1.250000e+001       -1.097488e-001      
1.289063e+001       -1.102409e-001      
1.328125e+001       -1.087418e-001      
1.367188e+001       -1.109619e-001      
1.406250e+001       -1.102524e-001      
1.445313e+001       -1.118546e-001      
1.484375e+001       -1.125641e-001      
1.523438e+001       -1.106644e-001      
1.562500e+001       -1.088219e-001      
1.601563e+001       -1.128387e-001      
1.640625e+001       -1.116371e-001      
1.679688e+001       -1.096573e-001      
1.718750e+001       -1.126556e-001      
1.757813e+001       -1.115685e-001      
1.796875e+001       -1.085243e-001      
1.835938e+001       -1.119118e-001      
1.875000e+001       -1.095886e-001      
1.914063e+001       -1.103210e-001      
1.953125e+001       -1.108246e-001      
1.992188e+001       -1.113396e-001      
2.031250e+001       -1.110649e-001      
2.070313e+001       -1.101265e-001      
2.109375e+001       -1.096115e-001      
2.148438e+001       -1.101608e-001      
2.187500e+001       -1.104126e-001      
2.226563e+001       -1.102638e-001      
2.265625e+001       -1.114426e-001      
2.304688e+001       -1.101379e-001      
2.343750e+001       -1.088676e-001      
2.382813e+001       -1.103897e-001      
2.421875e+001       -1.106758e-001      
2.460938e+001       -1.107216e-001      
2.500000e+001       -1.097488e-001      
2.539063e+001       -1.093254e-001      
2.578125e+001       -1.096802e-001      
2.617188e+001       -1.091423e-001      
2.656250e+001       -1.102638e-001      
2.695313e+001       -1.105499e-001      
2.734375e+001       -1.094170e-001      
2.773438e+001       -1.094971e-001      
2.812500e+001       -1.085930e-001      
2.851563e+001       -1.083984e-001      
2.890625e+001       -1.085930e-001      
2.929688e+001       -1.093597e-001      
2.968750e+001       -1.078720e-001      
3.007813e+001       -1.106186e-001      
3.046875e+001       -1.098061e-001      
3.085938e+001       -1.097946e-001      
3.125000e+001       -1.070595e-001      
3.164063e+001       -1.079865e-001      
3.203125e+001       -1.062584e-001      
3.242188e+001       -1.071396e-001      
3.281250e+001       -1.078835e-001      
3.320313e+001       -1.060753e-001      
3.359375e+001       -1.061440e-001      
3.398438e+001       -1.065903e-001      
3.437500e+001       -1.078949e-001      
3.476563e+001       -1.088905e-001      
3.515625e+001       -1.055260e-001      
3.554688e+001       -1.082611e-001      
3.593750e+001       -1.064186e-001      
3.632813e+001       -1.078377e-001      
3.671875e+001       -1.059380e-001      
3.710938e+001       -1.075974e-001      
3.750000e+001       -1.070023e-001      
3.789063e+001       -1.063957e-001      
3.828125e+001       -1.083069e-001      
3.867188e+001       -1.069107e-001      
3.906250e+001       -1.070938e-001      
3.945313e+001       -1.066933e-001      
3.984375e+001       -1.063385e-001      
4.023438e+001       -1.089478e-001      
4.062500e+001       -1.078949e-001      
4.101563e+001       -1.074257e-001      
4.140625e+001       -1.083183e-001      
4.179688e+001       -1.070709e-001      
4.218750e+001       -1.068649e-001      
4.257813e+001       -1.066589e-001      
4.296875e+001       -1.067276e-001      
4.335938e+001       -1.056747e-001      
4.375000e+001       -1.056175e-001      
4.414063e+001       -1.049309e-001      
4.453125e+001       -1.061897e-001      
4.492188e+001       -1.084671e-001      
4.531250e+001       -1.055717e-001      
4.570313e+001       -1.090851e-001      
4.609375e+001       -1.058121e-001      
4.648438e+001       -1.044960e-001      
4.687500e+001       -1.079521e-001      
4.726563e+001       -1.074829e-001      
4.765625e+001       -1.047707e-001      
4.804688e+001       -1.051025e-001      
4.843750e+001       -1.073456e-001      
4.882813e+001       -1.061783e-001      
4.921875e+001       -1.028481e-001      
4.960938e+001       -1.050682e-001      
5.000000e+001       -1.078262e-001      
5.039063e+001       -1.056175e-001      
5.078125e+001       -1.044273e-001      
5.117188e+001       -1.086388e-001      
5.156250e+001       -1.024933e-001      
5.195313e+001       -1.057091e-001      
5.234375e+001       -1.041298e-001      
5.273438e+001       -1.038780e-001      
5.312500e+001       -1.027336e-001      
5.351563e+001       -1.064758e-001      
5.390625e+001       -1.037178e-001      
5.429688e+001       -1.030655e-001      
5.468750e+001       -1.030884e-001      
5.507813e+001       -1.055603e-001      
5.546875e+001       -1.017838e-001      
5.585938e+001       -1.038780e-001      
5.625000e+001       -1.035118e-001      
5.664063e+001       -1.034317e-001      
5.703125e+001       -1.032372e-001      
5.742188e+001       -1.043243e-001      
5.781250e+001       -1.059837e-001      
5.820313e+001       -1.029968e-001      
5.859375e+001       -1.054001e-001      
5.898438e+001       -1.044044e-001      
5.937500e+001       -1.037178e-001      
5.976563e+001       -1.031685e-001      
6.015625e+001       -1.034317e-001      
6.054688e+001       -1.055946e-001      
6.093750e+001       -1.061554e-001      
6.132813e+001       -1.024132e-001      
6.171875e+001       -1.052742e-001      
6.210938e+001       -1.019096e-001      
6.250000e+001       -1.030426e-001      
6.289063e+001       -1.051826e-001      
6.328125e+001       -1.017036e-001      
6.367188e+001       -1.050911e-001      
6.406250e+001       -1.039238e-001      
6.445313e+001       -1.029739e-001      
6.484375e+001       -1.048393e-001      
6.523438e+001       -1.034203e-001      
6.562500e+001       -1.050797e-001      
6.601563e+001       -1.044273e-001      
6.640625e+001       -1.035576e-001      
6.679688e+001       -1.032829e-001      
6.718750e+001       -1.026306e-001      
6.757813e+001       -1.049309e-001      
6.796875e+001       -1.039581e-001      
6.835938e+001       -1.011086e-001      
6.875000e+001       -1.035233e-001      
6.914063e+001       -1.028595e-001      
6.953125e+001       -1.019440e-001      
6.992188e+001       -1.029053e-001      
7.031250e+001       -1.036835e-001      
7.070313e+001       -1.070366e-001      
7.109375e+001       -1.029854e-001      
7.148438e+001       -1.041412e-001      
7.187500e+001       -1.028938e-001      
7.226563e+001       -1.006737e-001      
7.265625e+001       -1.041641e-001      
7.304688e+001       -1.021385e-001      
7.343750e+001       -1.016235e-001      
7.382813e+001       -1.045074e-001      
7.421875e+001       -1.033974e-001      
7.460938e+001       -1.012344e-001      
7.500000e+001       -1.019783e-001      
7.539063e+001       -1.044159e-001      
7.578125e+001       -1.037979e-001      
7.617188e+001       -1.003418e-001      
7.656250e+001       -1.029625e-001      
7.695313e+001       -1.024704e-001      
7.734375e+001       -1.014175e-001      
7.773438e+001       -1.004906e-001      
7.812500e+001       -1.034546e-001      
7.851563e+001       -1.048622e-001      
7.890625e+001       -1.006622e-001      
7.929688e+001       -1.025505e-001      
7.968750e+001       -1.047935e-001      
8.007813e+001       -1.018410e-001      
8.046875e+001       -1.035004e-001      
8.085938e+001       -1.015549e-001      
8.125000e+001       -1.017380e-001      
8.164063e+001       -1.012230e-001      
8.203125e+001       -1.011887e-001      
8.242188e+001       -1.036606e-001      
8.281250e+001       -1.022873e-001      
8.320313e+001       -1.048965e-001      
8.359375e+001       -1.011429e-001      
8.398438e+001       -1.022415e-001      
8.437500e+001       -1.035690e-001      
8.476563e+001       -1.018867e-001      
8.515625e+001       -1.002274e-001      
8.554688e+001       -1.026306e-001      
8.593750e+001       -1.008110e-001      
8.632813e+001       -1.009483e-001      
8.671875e+001       -1.014061e-001      
8.710938e+001       -1.017952e-001      
8.750000e+001       -1.033974e-001      
8.789063e+001       -1.019440e-001      
8.828125e+001       -1.043701e-001      
8.867188e+001       -1.034317e-001      
8.906250e+001       -1.003532e-001      
8.945313e+001       -1.001472e-001      
8.984375e+001       -1.044502e-001      
9.023438e+001       -1.021729e-001      
9.062500e+001       -1.044273e-001      
9.101563e+001       -1.035347e-001      
9.140625e+001       -1.036949e-001      
9.179688e+001       -1.012001e-001      
9.218750e+001       -1.019783e-001      
9.257813e+001       -1.037407e-001      
9.296875e+001       -1.022186e-001      
9.335938e+001       -1.015892e-001      
9.375000e+001       -1.040497e-001      
9.414063e+001       -1.024704e-001      
9.453125e+001       -1.001816e-001      
9.492188e+001       -9.996414e-002      
9.531250e+001       -1.022758e-001      
9.570313e+001       -1.014175e-001      
9.609375e+001       -1.011772e-001      
9.648438e+001       -1.013374e-001      
9.687500e+001       -1.021385e-001      
9.726563e+001       -1.013832e-001      
9.765625e+001       -1.025162e-001      
9.804688e+001       -1.025734e-001      
9.843750e+001       -1.009598e-001      
9.882813e+001       -1.028938e-001      
9.921875e+001       -1.002388e-001      
9.960938e+001       -9.938049e-002      
1.000000e+002       -9.924316e-002      
1.003906e+002       -1.023445e-001      
1.007813e+002       -1.004791e-001      
1.011719e+002       -9.861374e-002      
1.015625e+002       -9.992981e-002      
1.019531e+002       -1.016808e-001      
1.023438e+002       -1.007881e-001      
1.027344e+002       -1.014404e-001      
1.031250e+002       -1.007195e-001      
1.035156e+002       -1.000557e-001      
1.039063e+002       -1.014748e-001      
1.042969e+002       -1.009712e-001      
1.046875e+002       -1.009140e-001      
1.050781e+002       -1.007881e-001      
1.054688e+002       -9.987259e-002      
1.058594e+002       -1.001587e-001      
1.062500e+002       -9.734344e-002      
1.066406e+002       -1.011887e-001      
1.070313e+002       -9.964371e-002      
1.074219e+002       -9.925461e-002      
1.078125e+002       -1.009369e-001      
1.082031e+002       -1.011658e-001      
1.085938e+002       -1.010284e-001      
1.089844e+002       -1.011314e-001      
1.093750e+002       -1.011658e-001      
1.097656e+002       -1.001816e-001      
1.101563e+002       -1.022758e-001      
1.105469e+002       -9.970093e-002      
1.109375e+002       -9.999847e-002      
1.113281e+002       -9.989548e-002      
1.117188e+002       -9.965515e-002      
1.121094e+002       -9.994125e-002      
1.125000e+002       -1.019096e-001      
1.128906e+002       -1.003189e-001      
1.132813e+002       -1.013031e-001      
1.136719e+002       -1.009827e-001      
1.140625e+002       -9.951782e-002      
1.144531e+002       -1.008453e-001      
1.148438e+002       -1.003418e-001      
1.152344e+002       -1.009369e-001      
1.156250e+002       -1.009026e-001      
1.160156e+002       -1.003304e-001      
