Calculated Z (nm)   Deflection {nN)     
Extend Data
0.000000e+000       -5.687714e-003      
3.906250e-001       -4.520416e-003      
7.812500e-001       -4.211426e-003      
1.171875e+000       -5.847931e-003      
1.562500e+000       -5.790710e-003      
1.953125e+000       -5.344391e-003      
2.343750e+000       -5.573273e-003      
2.734375e+000       -4.623413e-003      
3.125000e+000       -5.035400e-003      
3.515625e+000       -4.795074e-003      
3.906250e+000       -3.787994e-003      
4.296875e+000       -3.135681e-003      
4.687500e+000       -4.325867e-003      
5.078125e+000       -2.357483e-003      
5.468750e+000       -4.840851e-003      
5.859375e+000       -4.371643e-003      
6.250000e+000       -3.170013e-003      
6.640625e+000       -3.364563e-003      
7.031250e+000       -4.280090e-003      
7.421875e+000       -5.218506e-003      
7.812500e+000       -3.330231e-003      
8.203125e+000       -2.094269e-003      
8.593750e+000       -3.696442e-003      
8.984375e+000       -9.269714e-004      
9.375000e+000       -8.926392e-004      
9.765625e+000       -1.247406e-003      
1.015625e+001       -1.785278e-003      
1.054688e+001       -1.785278e-003      
1.093750e+001       -2.586365e-003      
1.132813e+001       -2.769470e-003      
1.171875e+001       -2.059937e-003      
1.210938e+001       6.408691e-004       
1.250000e+001       -2.002716e-003      
1.289063e+001       -2.929688e-003      
1.328125e+001       0.000000e+000       
1.367188e+001       -1.361847e-003      
1.406250e+001       -1.796722e-003      
1.445313e+001       -1.693726e-003      
1.484375e+001       -6.752014e-004      
1.523438e+001       -1.247406e-003      
1.562500e+001       7.896423e-004       
1.601563e+001       -1.647949e-003      
1.640625e+001       -2.288818e-005      
1.679688e+001       -1.304626e-003      
1.718750e+001       1.029968e-004       
1.757813e+001       1.819611e-003       
1.796875e+001       -2.174377e-003      
1.835938e+001       -8.239746e-004      
1.875000e+001       1.602173e-004       
1.914063e+001       -1.361847e-003      
1.953125e+001       -1.853943e-003      
1.992188e+001       -1.750946e-003      
2.031250e+001       -2.288818e-005      
2.070313e+001       7.667542e-004       
2.109375e+001       1.029968e-003       
2.148438e+001       -1.739502e-003      
2.187500e+001       -2.288818e-005      
2.226563e+001       2.059937e-004       
2.265625e+001       7.781982e-004       
2.304688e+001       2.174377e-003       
2.343750e+001       1.682281e-003       
2.382813e+001       2.552032e-003       
2.421875e+001       1.144409e-004       
2.460938e+001       2.517700e-004       
2.500000e+001       3.112793e-003       
2.539063e+001       3.364563e-003       
2.578125e+001       1.934052e-003       
2.617188e+001       1.728058e-003       
2.656250e+001       7.553101e-004       
2.695313e+001       6.294250e-004       
2.734375e+001       9.269714e-004       
2.773438e+001       3.547668e-004       
2.812500e+001       3.044128e-003       
2.851563e+001       5.378723e-004       
2.890625e+001       2.140045e-003       
2.929688e+001       2.300262e-003       
2.968750e+001       2.403259e-003       
3.007813e+001       2.403259e-004       
3.046875e+001       1.453400e-003       
3.085938e+001       2.368927e-003       
3.125000e+001       1.316071e-003       
3.164063e+001       9.956360e-004       
3.203125e+001       2.483368e-003       
3.242188e+001       1.338959e-003       
3.281250e+001       3.501892e-003       
3.320313e+001       1.602173e-003       
3.359375e+001       9.269714e-004       
3.398438e+001       1.796722e-003       
3.437500e+001       2.174377e-004       
3.476563e+001       1.544952e-003       
3.515625e+001       6.866455e-005       
3.554688e+001       1.430511e-003       
3.593750e+001       2.471924e-003       
3.632813e+001       4.062653e-003       
3.671875e+001       2.735138e-003       
3.710938e+001       4.817963e-003       
3.750000e+001       5.596161e-003       
3.789063e+001       1.373291e-003       
3.828125e+001       4.383087e-003       
3.867188e+001       1.453400e-003       
3.906250e+001       4.783630e-003       
3.945313e+001       3.719330e-003       
3.984375e+001       2.506256e-003       
4.023438e+001       2.632141e-003       
4.062500e+001       3.433228e-003       
4.101563e+001       2.506256e-003       
4.140625e+001       5.355835e-003       
4.179688e+001       4.898071e-003       
4.218750e+001       5.699158e-003       
4.257813e+001       1.579285e-003       
4.296875e+001       2.803802e-003       
4.335938e+001       5.264282e-003       
4.375000e+001       5.378723e-003       
4.414063e+001       6.717682e-003       
4.453125e+001       4.566193e-003       
4.492188e+001       4.566193e-003       
4.531250e+001       4.795074e-003       
4.570313e+001       6.500244e-003       
4.609375e+001       5.367279e-003       
4.648438e+001       5.596161e-003       
4.687500e+001       3.330231e-003       
4.726563e+001       5.081177e-003       
4.765625e+001       4.302979e-003       
4.804688e+001       5.069733e-003       
4.843750e+001       6.305695e-003       
4.882813e+001       4.428864e-003       
4.921875e+001       7.083893e-003       
4.960938e+001       5.550385e-003       
5.000000e+001       2.815247e-003       
5.039063e+001       7.049561e-003       
5.078125e+001       5.630493e-003       
5.117188e+001       5.138397e-003       
5.156250e+001       5.310059e-003       
5.195313e+001       3.993988e-003       
5.234375e+001       5.447388e-003       
5.273438e+001       5.126953e-003       
5.312500e+001       5.207062e-003       
5.351563e+001       5.962372e-003       
5.390625e+001       6.694794e-003       
5.429688e+001       6.134033e-003       
5.468750e+001       4.440308e-003       
5.507813e+001       7.324219e-003       
5.546875e+001       6.660461e-003       
5.585938e+001       2.300262e-003       
5.625000e+001       4.302979e-003       
5.664063e+001       6.362915e-003       
5.703125e+001       6.866455e-003       
5.742188e+001       5.298615e-003       
5.781250e+001       6.237030e-003       
5.820313e+001       5.516052e-003       
5.859375e+001       6.671906e-003       
5.898438e+001       5.481720e-003       
5.937500e+001       5.344391e-003       
5.976563e+001       8.239746e-003       
6.015625e+001       5.069733e-003       
6.054688e+001       7.667542e-003       
6.093750e+001       5.584717e-003       
6.132813e+001       8.079529e-003       
6.171875e+001       6.202698e-003       
6.210938e+001       9.086609e-003       
6.250000e+001       7.999420e-003       
6.289063e+001       5.802155e-003       
6.328125e+001       6.065369e-003       
6.367188e+001       7.610321e-003       
6.406250e+001       7.793427e-003       
6.445313e+001       7.598877e-003       
6.484375e+001       7.656097e-003       
6.523438e+001       6.660461e-003       
6.562500e+001       7.255554e-003       
6.601563e+001       5.104065e-003       
6.640625e+001       6.866455e-003       
6.679688e+001       7.118225e-003       
6.718750e+001       6.145477e-003       
6.757813e+001       7.244110e-003       
6.796875e+001       5.779266e-003       
6.835938e+001       7.244110e-003       
6.875000e+001       7.495880e-003       
6.914063e+001       6.832123e-003       
6.953125e+001       9.349823e-003       
6.992188e+001       8.136749e-003       
7.031250e+001       7.083893e-003       
7.070313e+001       5.859375e-003       
7.109375e+001       6.488800e-003       
7.148438e+001       7.129669e-003       
7.187500e+001       5.664825e-003       
7.226563e+001       6.294250e-003       
7.265625e+001       7.221222e-003       
7.304688e+001       8.651733e-003       
7.343750e+001       9.063721e-003       
7.382813e+001       8.960724e-003       
7.421875e+001       9.693146e-003       
7.460938e+001       6.786346e-003       
7.500000e+001       7.793427e-003       
7.539063e+001       5.699158e-003       
7.578125e+001       9.544373e-003       
7.617188e+001       8.720398e-003       
7.656250e+001       6.786346e-003       
7.695313e+001       9.773254e-003       
7.734375e+001       1.047134e-002       
7.773438e+001       8.892059e-003       
7.812500e+001       9.120941e-003       
7.851563e+001       7.965088e-003       
7.890625e+001       1.027679e-002       
7.929688e+001       8.674622e-003       
7.968750e+001       1.151276e-002       
8.007813e+001       9.338379e-003       
8.046875e+001       1.087189e-002       
8.085938e+001       1.013947e-002       
8.125000e+001       9.716034e-003       
8.164063e+001       9.601593e-003       
8.203125e+001       7.438660e-003       
8.242188e+001       1.183319e-002       
8.281250e+001       8.960724e-003       
8.320313e+001       1.003647e-002       
8.359375e+001       7.518768e-003       
8.398438e+001       9.166718e-003       
8.437500e+001       1.058578e-002       
8.476563e+001       1.015091e-002       
8.515625e+001       1.060867e-002       
8.554688e+001       8.502960e-003       
8.593750e+001       8.834839e-003       
8.632813e+001       8.720398e-003       
8.671875e+001       1.138687e-002       
8.710938e+001       8.102417e-003       
8.750000e+001       8.754730e-003       
8.789063e+001       1.035690e-002       
8.828125e+001       1.008224e-002       
8.867188e+001       8.663177e-003       
8.906250e+001       8.514404e-003       
8.945313e+001       9.555817e-003       
8.984375e+001       1.239395e-002       
9.023438e+001       7.575989e-003       
9.062500e+001       1.163864e-002       
9.101563e+001       9.223938e-003       
9.140625e+001       8.697510e-003       
9.179688e+001       9.246826e-003       
9.218750e+001       9.498596e-003       
9.257813e+001       9.498596e-003       
9.296875e+001       9.819031e-003       
9.335938e+001       8.731842e-003       
9.375000e+001       1.198196e-002       
9.414063e+001       1.194763e-002       
9.453125e+001       1.029968e-002       
9.492188e+001       7.553101e-003       
9.531250e+001       1.009369e-002       
9.570313e+001       1.089478e-002       
9.609375e+001       1.025391e-002       
9.648438e+001       9.487152e-003       
9.687500e+001       1.199341e-002       
9.726563e+001       1.346970e-002       
9.765625e+001       1.186752e-002       
9.804688e+001       1.000214e-002       
9.843750e+001       1.160431e-002       
9.882813e+001       1.176453e-002       
9.921875e+001       1.067734e-002       
9.960938e+001       1.067734e-002       
1.000000e+002       1.119232e-002       
1.003906e+002       1.078033e-002       
1.007813e+002       1.071167e-002       
1.011719e+002       1.073456e-002       
1.015625e+002       1.039124e-002       
1.019531e+002       1.035690e-002       
1.023438e+002       1.156998e-002       
1.027344e+002       1.155853e-002       
1.031250e+002       9.418488e-003       
1.035156e+002       1.281738e-002       
1.039063e+002       1.343536e-002       
1.042969e+002       1.364136e-002       
1.046875e+002       9.464264e-003       
1.050781e+002       1.142120e-002       
1.054688e+002       1.372147e-002       
1.058594e+002       1.058578e-002       
1.062500e+002       1.011658e-002       
1.066406e+002       1.207352e-002       
1.070313e+002       1.261139e-002       
1.074219e+002       1.054001e-002       
1.078125e+002       1.201630e-002       
1.082031e+002       1.076889e-002       
1.085938e+002       1.106644e-002       
1.089844e+002       1.227951e-002       
1.093750e+002       8.502960e-003       
1.097656e+002       1.179886e-002       
1.101563e+002       1.238251e-002       
1.105469e+002       1.251984e-002       
1.109375e+002       1.002502e-002       
1.113281e+002       1.010513e-002       
1.117188e+002       9.166718e-003       
1.121094e+002       1.317215e-002       
1.125000e+002       9.006500e-003       
1.128906e+002       1.312637e-002       
1.132813e+002       1.305771e-002       
1.136719e+002       1.017380e-002       
1.140625e+002       1.487732e-002       
1.144531e+002       1.060867e-002       
1.148438e+002       1.255417e-002       
1.152344e+002       1.383591e-002       
1.156250e+002       9.601593e-003       
1.160156e+002       1.128387e-002       
1.164063e+002       1.111221e-002       
1.167969e+002       1.234818e-002       
1.171875e+002       1.319504e-002       
1.175781e+002       1.359558e-002       
1.179688e+002       1.099777e-002       
1.183594e+002       1.105499e-002       
1.187500e+002       1.417923e-002       
1.191406e+002       1.150131e-002       
1.195313e+002       1.388168e-002       
1.199219e+002       1.119232e-002       
1.203125e+002       1.248550e-002       
1.207031e+002       1.571274e-002       
1.210938e+002       1.380157e-002       
1.214844e+002       1.229095e-002       
1.218750e+002       1.327515e-002       
1.222656e+002       1.441956e-002       
1.226563e+002       1.350403e-002       
1.230469e+002       1.405334e-002       
1.234375e+002       1.282883e-002       
1.238281e+002       1.346970e-002       
1.242188e+002       1.199341e-002       
1.246094e+002       1.227951e-002       
1.250000e+002       1.411057e-002       
1.253906e+002       1.286316e-002       
1.257813e+002       1.248550e-002       
1.261719e+002       1.374435e-002       
1.265625e+002       1.254272e-002       
1.269531e+002       1.280594e-002       
1.273438e+002       1.243973e-002       
1.277344e+002       1.173019e-002       
1.281250e+002       1.559830e-002       
1.285156e+002       1.273727e-002       
1.289063e+002       1.254272e-002       
1.292969e+002       1.198196e-002       
1.296875e+002       1.269150e-002       
1.300781e+002       1.273727e-002       
1.304688e+002       1.462555e-002       
1.308594e+002       1.441956e-002       
1.312500e+002       1.560974e-002       
1.316406e+002       1.579285e-002       
1.320313e+002       1.459122e-002       
1.324219e+002       1.432800e-002       
1.328125e+002       1.536942e-002       
1.332031e+002       1.413345e-002       
1.335938e+002       1.525497e-002       
1.339844e+002       1.362991e-002       
